"","survey_id","year","month","day","BMU","household_group","Total_Biomass_kg_per_fisherman","Avg_Trophic_Level","richness","total_catch_per_fisherman","Total_value_KES_per_fisherman","Mean_length_cm","Calcium_mg_per_fisherman","Iron_mg_per_fisherman","Omega3_g_per_fisherman","Protein_g_per_fisherman","VitaminA_ug_per_fisherman","Selenium_ug_per_fisherman","mean_lengthdist","Zinc_mg_per_fisherman","TakeHome_kg","Diet_percent_Herbivorous_Detritivorous","Diet_percent_Herbivorous_Macroalgal","Diet_percent_Omnivorous","Diet_percent_Planktivorous","Diet_percent_Carnivorous","trap_type","total_traps_collected","household_group_collapsed","No_fishermen"
"206","2022-04-26 07:30:00 SS/UYO/SB/095/FF","2022","Apr","26","UYOMBO","Social Marketing + Traps: Control",2.11403184512976,2.045,3,13,365.617018537571,21.6538461538462,860.270158041424,19.4432735392494,4.98828406289805,381.779690220429,543.463690077063,465.753131152358,0.985955048333334,41.4405601596056,NA,50,0,50,0,0,"Control",7,"Social Marketing + Traps",2
"207","2022-04-26 07:30:00 SS/UYO/SB/039/FF","2022","Apr","26","UYOMBO","Social Marketing + Traps: Control",2.32561297529696,2.135,2,18,346.415238254052,20.2222222222222,1127.68347152673,19.7429141774872,3.91038271825994,431.203740591895,603.281201345742,751.370534853978,-1.70406967,38.6550722737465,0.84177101523021,100,0,0,0,0,"Control",6,"Social Marketing + Traps",1
"208","2022-04-26 07:30:00 SS/UYO/SB/100/FF","2022","Apr","26","UYOMBO","Social Marketing + Traps: Control",0.432253356427543,2.18,2,2,51.8704027713053,23,209.91048340634,3.46429763876294,0.451386399221271,81.1149557941814,102.971823885265,158.750634309274,1.96920633333333,7.28469003655586,NA,66.6666666666667,0,33.3333333333333,0,0,"Control",7,"Social Marketing + Traps",2
"209","2022-04-26 07:30:00 SS/UYO/SB/091/FF","2022","Apr","26","UYOMBO","Social Marketing + Traps: Control",6.03765037463823,2.30230769230769,7,24,873.273201895944,24.25,2364.78935467236,50.6012625300839,10.1589612417135,1101.9326109315,2246.76577790015,1681.59610894265,4.00929244307692,116.46768612007,2.59672343011681,23.0769230769231,0,61.5384615384615,0,15.3846153846154,"Control",9,"Social Marketing + Traps",2
"210","2022-04-26 07:30:00 SS/UYO/SB/092/FF","2022","Apr","26","UYOMBO","Social Marketing + Traps: Experimental",4.93315320512409,2,1,23,986.630641024815,24.9565217391304,2157.78037722147,45.8802410910165,13.5835733080115,897.768759297174,1331.0776210739,1042.78047108736,1.0064563,84.1404983806587,1.31043846794966,100,0,0,0,0,"Experimental",3,"Social Marketing + Traps",1
"211","2022-04-26 07:30:00 SS/UYO/SB/088/FF","2022","Apr","26","UYOMBO","Social Marketing + Traps: Experimental",1.90655383830562,3.158,4,4,370.515191364254,29.875,514.999557510202,14.6644594278157,5.490533289027,351.488326604392,1300.99984003634,533.88404366659,-2.121696714,21.624672458291,NA,40,0,0,0,60,"Experimental",4,"Social Marketing + Traps",2
"212","2022-04-26 07:30:00 SS/UYO/SB/071/FF","2022","Apr","26","UYOMBO","Social Marketing + Traps: Experimental",2.26766371855252,2,1,9,453.532743710502,26.6111111111111,991.884920368419,21.0901534565099,6.24407454584643,412.684860667509,611.867562667875,479.343604865895,1.0064563,38.6775653431074,0.819024042468536,100,0,0,0,0,"Experimental",6,"Social Marketing + Traps",2
"213","2022-04-27 08:00:00 SS/UYO/SB/088/FF","2022","Apr","27","UYOMBO","Social Marketing + Traps: Experimental",5.29118242316886,2.93999998575,5,10.5,974.155875659014,30.3809523809524,1213.06607890948,39.802087185657,15.7479285313877,956.677153405202,3265.78367596206,1753.96881543169,0.123588521250001,62.9990649494258,2.10201522436899,37.5,0,12.5,0,50,"Experimental",4,"Social Marketing + Traps",2
"214","2022-04-27 08:00:00 SS/UYO/SB/039/FF","2022","Apr","27","UYOMBO","Social Marketing + Traps: Control",5.61500695958795,2.135,2,36,892.024915965276,21.75,2670.9380391398,48.5516659179879,10.609787811774,1037.37048281817,1467.92630442161,1692.37781208452,0.795930329999999,93.803344419195,0.925948116753231,100,0,0,0,0,"Control",6,"Social Marketing + Traps",1
"215","2022-04-01 12:58:00 SS/MAY/SB/030/FF","2022","Apr","1","MAYUNGU","Social Marketing + Traps: Experimental",3.18612854340276,2,1,7.33333333333332,637.225708680552,32.0909090909091,1393.62500299376,29.6322331052783,8.77309275396216,579.83333386056,859.690389826748,673.490663128688,8.92312296666667,54.343020052224,NA,100,0,0,0,0,"Experimental",12,"Social Marketing + Traps",3
"216","2022-04-01 12:57:00 SS/MAY/SB/015/FF","2022","Apr","1","MAYUNGU","Social Marketing + Traps: Experimental",3.82386848694044,2,1,11,764.773697388088,29.2121212121212,1672.57493191682,35.5634623102598,10.529127264606,695.893584588104,1031.76722012389,808.297495817908,5.58978963333333,65.220394918826,NA,100,0,0,0,0,"Experimental",12,"Social Marketing + Traps",3
"217","2022-04-01 12:59:00 SS/MAY/SB/028/FF","2022","Apr","1","MAYUNGU","Social Marketing + Traps: Experimental",3.79088069968003,2,1,7.75,758.176139936008,33.8064516129032,1658.14594561156,35.2566630746321,10.438294483241,689.890242788384,1022.8663602549,801.324466822212,7.2564563,64.6577509576204,NA,100,0,0,0,0,"Experimental",16,"Social Marketing + Traps",4
"218","2022-04-04 12:57:00 SS/MAY/SB/017/FF","2022","Apr","4","MAYUNGU","Social Marketing + Traps: Experimental",3.80770897899726,2,2,5.83333333333334,663.447751995566,36.2857142857143,1525.87562133862,35.2102844531928,9.14751186244046,686.217752548468,977.3943524876,810.94552804701,12.8451279033333,75.6329714749622,NA,66.6666666666667,0,33.3333333333333,0,0,"Experimental",12,"Social Marketing + Traps",6
"219","2022-04-27 08:00:00 SS/UYO/SB/092/FF","2022","Apr","27","UYOMBO","Social Marketing + Traps: Experimental",1.84070149748946,2,1,6.99999999999999,368.140299497892,27.2857142857143,805.129986127209,17.1192389471487,5.0684223030705,334.983372890403,496.663385163165,389.091417775053,-0.2435437,31.3952425414068,NA,100,0,0,0,0,"Experimental",3,"Social Marketing + Traps",1
"220","2022-04-18 12:43:00 SS/MAY/SB/043/FF","2022","Apr","18","MAYUNGU","Social Marketing + Traps: Control",5.76206874191852,2.375,3,19,1134.25335687363,29.0526315789474,2503.67846250373,51.1038547467646,15.7019989445918,1043.66629605569,2767.21922795834,1397.11236520016,5.269859906,93.694620592566,NA,75,0,0,0,25,"Control",15,"Social Marketing + Traps",2
"221","2022-04-18 12:50:00 SS/MAY/SB/042/FF","2022","Apr","18","MAYUNGU","Social Marketing + Traps: Control",17.1228990390991,2.51571428571429,4,39,3186.84576852153,31.2051282051282,6993.20337343153,138.885386531814,41.06959757697,3161.3418838738,7512.51141798577,4727.22492242553,6.17334359142857,258.220638929803,1.35400700366836,57.1428571428571,0,0,14.2857142857143,28.5714285714286,"Control",15,"Social Marketing + Traps",1
"222","2022-04-07 12:55:00 SS/MAY/SB/065/FF","2022","Apr","7","MAYUNGU","Social Marketing + Traps: Experimental",6.94973299429612,2,1,14.5,1389.94659885922,33.6896551724138,3039.8402114178,64.6352164707356,19.1362813344356,1264.75965945172,1875.19699399114,1469.04941816848,7.2564563,118.53554378672,NA,100,0,0,0,0,"Experimental",8,"Social Marketing + Traps",2
"223","2022-04-25 07:00:00 SS/UYO/SB/091/FF","2022","Apr","25","UYOMBO","Social Marketing + Traps: Experimental",0.886575179986,2,1,4,177.3150359972,25.5,387.79142807045,8.24549356399846,2.44120919210342,161.344978812528,239.218271237382,187.406156954518,-0.2435437,15.1215408064887,NA,100,0,0,0,0,"Experimental",4,"Social Marketing + Traps",2
"224","2022-04-25 07:00:00 SS/UYO/SB/039/FF","2022","Apr","25","UYOMBO","Social Marketing + Traps: Control",2.80157573959244,2.18,2,19,403.530769969509,20.8947368421053,1371.30021763008,23.5645313678814,4.42121284879803,520.380091602039,723.937178992662,935.307773337432,1.97575500666667,46.4488999880585,0.84177101523021,100,0,0,0,0,"Control",6,"Social Marketing + Traps",1
"225","2022-04-18 11:00:00 SS/UYO/SB/088/FF","2022","Apr","18","UYOMBO","Social Marketing + Traps: Control",1.66588514553337,2.78571431571429,6,11,240.381812764174,21.1818181818182,672.27997315143,14.46334178597,2.93404789128672,306.261589718355,489.989812858852,539.443882714308,-7.07428069666667,33.106385427728,NA,28.5714285714286,0,28.5714285714286,0,42.8571428571429,"Control",5,"Social Marketing + Traps",2
