"","trap_type","survey_id","N","median_length","sd","se","ci"
"53","Control","2021-05-20 13:15:00 SS/MAY/SB/029/FF",45,25.6666666666667,6.62296280856509,0.987293003493631,1.98975830571626
"54","Control","2021-05-20 13:15:00 SS/MAY/SB/058/FF",31,23.8064516129032,6.72021505032247,1.20698625379805,2.46499478126596
"55","Control","2021-05-20 13:15:00 SS/MAY/SB/081/FF",31,23.8064516129032,6.72021505032247,1.20698625379805,2.46499478126596
"56","Control","2021-05-20 14:07:00 SS/MAY/SB/014/FF",45,28.3333333333333,6.25227231419978,0.932033727226042,1.87839055213933
"57","Control","2021-05-20 14:07:00 SS/MAY/SB/036/FF",41,29.3414634146341,6.80297639308546,1.06244641534754,2.14728430357802
"58","Control","2021-05-20 16:30:00 SS/UYO/SB/085/FF",38,22.4736842105263,4.76324237800638,0.772699947750467,1.56563881031498
"59","Control","2021-05-20 16:30:00 SS/UYO/SB/091/FF",25,24.6,8.62650952973836,1.72530190594767,3.56084812205949
"60","Control","2021-05-20 16:33:00 SS/MAY/SB/074/FF",37,25.1621621621622,10.3776295556931,1.70607178958609,3.46007396170154
"61","Control","2021-05-20 16:45:00 SS/MAY/SB/030/FF",36,30.6388888888889,2.7995180991202,0.466586349853367,0.947220648050708
"62","Control","2021-05-20 23:15:00 SS/MAY/SB/028/FF",22,31.6363636363636,3.15542547950509,0.672738972637232,1.39903728138426
"63","Control","2021-05-20 23:25:00 SS/MAY/SB/077/FF",44,28.7954545454545,4.16842809843703,0.628414180367739,1.26731797543177
"64","Control","2021-05-21 08:00:00 SS/UYO/SB/090/FF",45,21.2222222222222,6.83868969669459,1.01945166925577,2.05456983793064
"65","Control","2021-05-21 10:30:00 SS/UYO/SB/088/FF",9,23,3.53553390593274,1.17851130197758,2.71765193574514
"66","Control","2021-05-21 10:30:00 SS/UYO/SB/095/FF",40,21.125,2.70030862433661,0.426956281914983,0.863600594682092
"67","Control","2021-05-21 10:30:00 SS/UYO/SB/100/FF",26,20.3076923076923,3.23443016025056,0.634323942402717,1.30641461431286
"68","Control","2021-05-22 08:30:00 SS/UYO/SB/095/FF",32,20.03125,5.36707029471266,0.948772950124052,1.93503518935519
"69","Control","2021-05-22 09:00:00 SS/UYO/SB/089/FF",51,22.5098039215686,4.82233366336096,0.675261778734218,1.35630319872998
"70","Control","2021-05-22 09:00:00 SS/UYO/SB/090/FF",12,19.25,3.10790780254031,0.897175703206592,1.97467040875249
"71","Control","2021-05-22 09:00:00 SS/UYO/SB/091/FF",53,22.811320754717,2.58737024032559,0.355402635355178,0.713167562745972
"72","Control","2021-05-22 09:00:00 SS/UYO/SB/092/FF",20,26.25,2.44680242464796,0.547121654902415,1.14513878439844
"73","Control","2021-05-22 09:00:00 SS/UYO/SB/094/FF",19,19.8421052631579,4.47540386625407,1.02672806234383,2.15707561551212
"74","Control","2021-05-22 11:00:00 SS/MAY/SB/034/FF",23,28.2173913043478,4.38962124830347,0.915299302522483,1.89821457257272
"75","Control","2021-05-22 11:00:00 SS/UYO/SB/100/FF",32,25.5,5.38815906080325,0.952500952501429,1.94263850033205
"76","Control","2021-05-22 11:25:00 SS/MAY/SB/082/FF",24,28,3.61157559257308,0.737209780774486,1.5250346234745
"77","Control","2021-05-22 12:45:00 SS/MAY/SB/013/FF",23,28,3.69274472937998,0.769990503509018,1.59686256776921
"78","Control","2021-05-22 12:45:00 SS/MAY/SB/077/FF",27,29.2962962962963,3.82114375562339,0.735379458640473,1.51159412580875
"79","Control","2021-05-23 01:00:00 SS/UYO/SB/100/FF",5,30,10.9544511501033,4.89897948556636,13.6017476131651
"80","Control","2021-05-23 07:30:00 SS/UYO/SB/095/FF",34,26.0882352941176,3.69576044628062,0.633817687562773,1.28951178114043
"81","Control","2021-05-23 09:00:00 SS/UYO/SB/096/FF",19,24.0526315789474,4.27490980035481,0.980731569078855,2.06044056903794
"82","Control","2021-05-23 10:15:00 SS/UYO/SB/092/FF",2,28,0,0,0
"83","Control","2021-05-23 12:15:00 SS/MAY/SB/001/FF",19,27.2105263157895,3.44123600805843,0.789473684210526,1.65862266334819
"84","Control","2021-05-23 12:15:00 SS/MAY/SB/002/FF",19,30.1052631578947,2.53628636750894,0.581863998307965,1.22245089846798
"85","Control","2021-05-23 12:15:00 SS/MAY/SB/015/FF",17,30.3529411764706,2.57247877713763,0.623917748105777,1.32264654048763
