"","survey_id","trap_type","BMU","Diet_percent_Herbivorous_Detritivorous","Diet_percent_Herbivorous_Macroalgal","Diet_percent_Omnivorous","Diet_percent_Planktivorous","Diet_percent_Carnivorous"
"693","2022-04-18 11:00:00 SS/UYO/SB/091/FF","Experimental","UYOMBO",66.6666666666667,0,0,0,33.3333333333333
"694","2022-04-18 11:00:00 SS/UYO/SB/099/FF","Control","UYOMBO",100,0,0,0,0
"695","2022-04-18 11:00:00 SS/UYO/SB/100/FF","Experimental","UYOMBO",100,0,0,0,0
"696","2022-04-18 12:43:00 SS/MAY/SB/043/FF","Control","MAYUNGU",75,0,0,0,25
"697","2022-04-18 12:43:00 SS/MAY/SB/065/FF","Experimental","MAYUNGU",85.7142857142857,0,0,0,14.2857142857143
"698","2022-04-18 12:50:00 SS/MAY/SB/042/FF","Control","MAYUNGU",57.1428571428571,0,0,14.2857142857143,28.5714285714286
"699","2022-04-19 11:30:00 SS/MAY/SB/039/FF","Control","UYOMBO",100,0,0,0,0
"700","2022-04-19 11:30:00 SS/UYO/SB/085/FF","Control","UYOMBO",60,0,40,0,0
"701","2022-04-19 11:30:00 SS/UYO/SB/091/FF","Control","UYOMBO",52.6315789473684,0,31.5789473684211,0,15.7894736842105
"702","2022-04-19 11:30:00 SS/UYO/SB/092/FF","Experimental","UYOMBO",100,0,0,0,0
"703","2022-04-19 11:30:00 SS/UYO/SB/100/FF","Experimental","UYOMBO",100,0,0,0,0
"704","2022-04-19 13:00:00 SS/UYO/SB/091/FF","Control","UYOMBO",52.6315789473684,0,31.5789473684211,0,15.7894736842105
"705","2022-04-20 00:05:00 SS/UYO/SB/071/FF","Control","UYOMBO",42.8571428571429,0,28.5714285714286,0,28.5714285714286
"706","2022-04-20 00:05:00 SS/UYO/SB/085/FF","Control","UYOMBO",50,0,50,0,0
"707","2022-04-20 00:05:00 SS/UYO/SB/085/FF","Experimental","UYOMBO",60,0,0,0,40
"708","2022-04-20 00:05:00 SS/UYO/SB/088/FF","Control","UYOMBO",62.5,0,0,0,37.5
"709","2022-04-20 00:05:00 SS/UYO/SB/091/FF","Control","UYOMBO",33.3333333333333,0,41.6666666666667,0,25
"710","2022-04-20 00:05:00 SS/UYO/SB/100/FF","Control","UYOMBO",75,0,12.5,0,12.5
"711","2022-04-21 12:43:00 SS/MAY/SB/042/FF","Experimental","MAYUNGU",75,0,0,0,25
"712","2022-04-21 12:50:00 SS/MAY/SB/033/FF","Experimental","MAYUNGU",100,0,0,0,0
"713","2022-04-21 12:52:00 SS/MAY/SB/035/FF","Experimental","MAYUNGU",50,0,0,0,50
"714","2022-04-21 13:22:00 SS/MAY/SB/028/FF","Experimental","MAYUNGU",66.6666666666667,0,0,0,33.3333333333333
"715","2022-04-25 07:00:00 SS/UYO/SB/039/FF","Control","UYOMBO",100,0,0,0,0
"716","2022-04-25 07:00:00 SS/UYO/SB/086/FF","Control","UYOMBO",33.3333333333333,0,44.4444444444444,0,22.2222222222222
"717","2022-04-25 07:00:00 SS/UYO/SB/088/FF","Experimental","UYOMBO",50,0,0,0,50
"718","2022-04-25 07:00:00 SS/UYO/SB/090/FF","Control","UYOMBO",60,0,40,0,0
"719","2022-04-25 07:00:00 SS/UYO/SB/091/FF","Experimental","UYOMBO",100,0,0,0,0
"720","2022-04-25 07:00:00 SS/UYO/SB/100/FF","Control","UYOMBO",60,0,40,0,0
"721","2022-04-25 07:00:00 SS/UYO/SB/100/FF","Experimental","UYOMBO",100,0,0,0,0
"722","2022-04-26 07:30:00 SS/UYO/SB/039/FF","Control","UYOMBO",100,0,0,0,0
"723","2022-04-26 07:30:00 SS/UYO/SB/071/FF","Experimental","UYOMBO",100,0,0,0,0
"724","2022-04-26 07:30:00 SS/UYO/SB/088/FF","Control","UYOMBO",66.6666666666667,0,16.6666666666667,0,16.6666666666667
"725","2022-04-26 07:30:00 SS/UYO/SB/088/FF","Experimental","UYOMBO",40,0,0,0,60
"726","2022-04-26 07:30:00 SS/UYO/SB/089/FF","Control","UYOMBO",42.8571428571429,0,42.8571428571429,0,14.2857142857143
"727","2022-04-26 07:30:00 SS/UYO/SB/091/FF","Control","UYOMBO",23.0769230769231,0,61.5384615384615,0,15.3846153846154
"728","2022-04-26 07:30:00 SS/UYO/SB/092/FF","Experimental","UYOMBO",100,0,0,0,0
"729","2022-04-26 07:30:00 SS/UYO/SB/095/FF","Control","UYOMBO",50,0,50,0,0
"730","2022-04-26 07:30:00 SS/UYO/SB/100/FF","Control","UYOMBO",66.6666666666667,0,33.3333333333333,0,0
"731","2022-04-26 07:30:00 SS/UYO/SB/100/FF","Experimental","UYOMBO",66.6666666666667,0,0,0,33.3333333333333
"732","2022-04-27 08:00:00 SS/UYO/SB/039/FF","Control","UYOMBO",100,0,0,0,0
"733","2022-04-27 08:00:00 SS/UYO/SB/085/FF","Control","UYOMBO",100,0,0,0,0
"734","2022-04-27 08:00:00 SS/UYO/SB/088/FF","Experimental","UYOMBO",37.5,0,12.5,0,50
"735","2022-04-27 08:00:00 SS/UYO/SB/090/FF","Control","UYOMBO",100,0,0,0,0
"736","2022-04-27 08:00:00 SS/UYO/SB/092/FF","Experimental","UYOMBO",100,0,0,0,0
"737","2022-04-27 08:00:00 SS/UYO/SB/094/FF","Control","UYOMBO",60,0,40,0,0
